LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
-0.119385,-0.612739,-1.21813,-0.0798019
-2.34223,-1.13609,-3.04343,-1.60791
-1.18427,-0.201726,-0.0698085,-1.60157
1.21592,-0.786824,-1.07124,-0.733562
-1.36411,-0.709928,-2.32385,-0.437437
-0.338478,0.12558,-0.21503,0.130925
0.359148,0.0997389,0.0825362,0.057536
0.60258,-0.208254,0.147179,0.0916874
-0.817384,-0.00766246,0.0919836,-0.0374221
-1.36429,-1.40313,-1.57858,-3.36115
-1.16596,-0.502208,-0.528531,-0.943522
-3.27383,-2.36624,-1.58976,-1.88896
-0.0797335,-0.828538,-0.609048,-0.149004
-2.2786,-1.06476,-7.69132,-2.35128
-1.69385,-0.874362,-2.92444,-1.13089
-0.453117,0.0744466,0.0306488,-2.05125
0.222726,-0.612049,-0.0922783,-0.593252
-0.767224,-0.36543,-0.368707,-0.0569316
-0.579642,-0.159629,0.114396,-0.48317
-2.79678,-2.65708,-4.69005,-0.852103
-0.34329,-1.50898,-1.42994,-0.177186
-3.19878,-4.30634,-8.62854,-5.50307
0.341512,-0.356396,0.0441467,-1.82807
0.322912,-0.625928,-0.560723,-0.226083
-1.51381,-0.586267,-0.842696,-0.637495
1.03391,-0.327526,-1.11663,-0.739745
-2.92392,-1.90338,-2.78623,-2.98964
0.310609,0.076051,0.0878698,0.137171
0.547623,-2.03327,-0.870531,-3.15261
-0.288928,0.0165764,0.0193461,0.173124
-1.29842,-2.13156,-1.62583,-1.76626
0.145745,-0.389961,-1.00673,-0.795816
-4.19141,-3.4423,-5.11256,-2.38506
0.413695,0.0896853,0.132217,-0.136546
0.274859,-0.297597,-2.67761,-0.31957
-1.33321,0.0542223,-0.0122466,-0.227426
-1.94794,-0.0395284,0.0450723,-1.83456
-2.96678,-1.6463,-2.43089,-0.818163
0.91823,0.125141,0.0672762,-0.0357401
-0.144659,0.14819,0.137747,-1.18911
-0.261869,-0.458736,0.0925093,-0.28336
-1.60519,-2.07207,-5.9785,-0.706567
0.257082,-0.453393,0.0683863,-0.212263
-0.703964,0.105791,0.091719,0.242206
-0.849352,-1.78715,-0.512305,-3.40878
-0.386584,-0.498024,-2.63664,-0.581738
-0.981427,0.45782,0.0347706,0.0174371
-0.685675,-0.265395,-0.262157,-0.445693
0.681581,0.133879,0.10813,0.116817
0.215985,-0.88835,-0.453711,-1.07168
-3.79422,0.0613523,-0.807453,-0.123822
-2.62379,-1.54587,-3.39409,-2.25884
-1.64754,0.067782,0.063872,0.0656571
0.716889,-4.18086,-0.351118,-0.695209
-0.271936,-0.75476,-1.38286,-1.17984
-0.635674,0.230837,0.0851678,0.0263295
-0.246708,-0.418314,-0.453152,-0.148242
-0.869922,-0.175791,-0.259161,-2.38389
0.73446,-0.286221,-0.561637,-0.821531
0.206114,-0.201109,-0.107662,0.0312633
-1.50902,-1.90617,-1.33326,-3.43427
0.687547,-0.665994,-2.06476,-1.09501
0.313881,0.101945,-0.0124387,0.22382
0.693226,-0.212412,-0.227834,0.0984325
0.828106,-0.364438,-2.10638,-1.52196
-0.284902,-1.41279,-1.09559,-1.53992
-1.30358,-1.59868,-1.11356,-0.98159
-0.829591,0.0374725,0.0117062,-0.229231
-0.675571,-0.791386,-0.440486,-1.47964
-2.78276,-2.73677,-3.2544,-4.97611
-0.0755449,0.166128,0.14851,0.0890317
0.430182,0.126816,0.0782766,0.105964
0.776333,0.324513,0.0578995,-0.481749
-0.402452,-0.0431002,-0.540473,0.129389
0.149591,-0.649948,-0.363625,-0.893468
-0.341002,0.747075,0.150178,0.136872
-0.409778,-0.386615,0.0115202,-0.0805772
-1.0042,-0.086402,0.0164259,-0.000669458
-1.47587,-0.580719,-0.274097,-1.60427
-1.98256,-1.54365,-1.7957,-0.999337
-3.50322,-0.0641909,-0.092953,-0.444469
-1.53594,-1.30043,-0.810452,-2.4879
-0.803191,-0.267903,0.0510322,-0.371488
-0.132053,-1.07337,-3.27628,-0.951055
-2.16976,-2.63933,-4.84292,-1.03073
-0.331167,-0.1626,-1.05837,-1.33023
-1.03637,0.0578104,0.0502147,-0.0354741
-1.93158,-0.0619115,-0.155383,-0.247215
0.238822,0.0846056,0.0946394,0.255703
-3.47364,-1.41895,-7.35166,-3.02398
0.236171,0.959973,0.0931459,0.179194
0.485131,-0.33315,-0.121635,-0.0747303
0.132808,0.35875,0.171174,0.110505
-0.895155,-1.15105,-0.761893,-0.943161
0.0601644,-0.0847704,0.0624881,-0.419201
0.118912,-0.0399298,0.094978,0.0597445
-1.6656,-0.922917,-0.833557,-0.29641
1.36233,-0.0592374,0.0931168,-1.10902
-0.24059,-1.13159,-0.0461251,-0.981999
-2.41198,-0.91779,-0.344316,-3.57522
0.387425,-0.602152,-1.49635,-0.235771
0.202299,-0.792891,-0.747536,-1.30985
0.255927,-1.14523,-3.63194,-1.45434
-1.25751,-1.34513,-1.1036,-2.27048
0.516114,-0.155768,-0.320688,-1.31863
-0.088114,2.61984,0.0364107,-0.104293
-1.33782,-1.91715,-8.72629,-5.66804
-0.823816,-0.308931,-1.30967,-1.50793
-1.13493,0.105147,-0.351872,-0.987318
1.13226,-0.89801,-0.390456,-0.174612
0.367164,-0.57607,-1.23331,-0.342703
-0.306735,1.34334,0.0919725,0.157921
-0.0462937,-0.092818,-0.0892759,-1.69514
0.155385,-2.04526,-0.259479,-0.315748
-2.5544,-1.65278,-2.02,-1.84851
-1.11603,-1.7335,-1.27192,-1.9564
0.670034,0.220122,0.0686955,0.210465
-0.23874,0.0302525,-0.201404,0.169756
0.13454,-0.0314654,0.0382945,-0.12292
-0.0585254,-0.702445,-1.67472,-1.948
-1.00126,0.0330694,-0.187468,0.140476
-0.197675,-0.172013,-0.133378,-0.676021
0.402689,-0.146319,0.108376,-0.528044
-1.51506,-0.920626,-1.505,-0.623425
-0.12136,-0.167822,0.0698301,0.251479
-0.669346,0.0469348,0.0788247,-4.15448
0.473092,-0.037444,-0.125383,-2.78421
-0.736671,-1.23999,-2.65425,-0.806398
-0.216412,-0.294433,-0.186928,-0.437828
-1.65213,0.265714,0.0677987,-1.22284
-0.813764,-0.638016,-0.656691,-3.98108
-1.14208,-1.60161,-0.728249,-2.21073
0.462148,0.0628133,0.0799274,0.0641543
-2.70779,-1.91741,-1.41216,-1.94665
-3.2615,-2.5975,-5.36067,-1.71865
-0.236948,0.114723,0.140895,0.0563356
-2.08411,-2.465,-4.50715,-1.88407
1.01999,-0.705285,-1.36597,-0.952785
-0.549619,-0.0384079,-0.0920418,0.202747
-2.82315,-1.14615,-0.415323,-1.01612
-0.16298,1.27165,0.00928448,0.199295
-3.16888,-2.48672,-7.58094,-5.19046
