LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
-0.681007,-0.491977,-1.0903,-0.757283
0.650371,-0.124328,-0.228046,-0.1645
0.368223,-0.187469,-0.253518,-0.490218
-1.06016,0.019711,0.0485832,0.174889
0.292834,-0.136628,0.149426,0.297124
0.491143,0.147436,0.132823,0.299834
-0.059623,-0.191658,0.151505,-0.210483
-0.547418,0.0528134,0.111877,0.22661
-0.254365,-0.115134,-0.56945,-0.445915
0.347451,-0.142012,0.200697,-0.154806
-0.349892,-0.615711,-0.874953,-1.18971
-0.0310202,0.0285571,-0.0224318,0.176224
-1.0073,-0.0408314,-0.16416,-1.1836
0.913935,-0.220027,-0.757052,0.100673
0.243481,-0.447873,-0.470243,-0.837499
0.566702,-0.14243,-0.0978548,-0.907473
0.229144,-0.170398,0.13296,0.119915
-1.08278,-0.347861,-0.486951,-1.31028
-0.225039,0.0153319,0.0647573,0.216353
0.405771,-0.26326,-0.377275,0.0235204
-0.794576,-0.027622,-1.54811,-0.495546
0.695276,-0.170807,-0.770074,-0.445947
-0.585413,0.0106932,0.129225,0.174716
0.798417,-0.203935,-0.532474,-0.020512
-1.30204,-0.229605,-0.589716,-0.0727189
-1.43201,-0.252429,-2.32773,-0.569446
-1.61758,-1.1313,-1.27793,-0.906823
-1.00145,-0.242127,-0.861477,-0.285587
0.635201,0.0045658,0.159865,0.0568174
0.195865,-0.480423,-0.211748,0.102155
-0.226079,-0.134613,-0.029621,0.204553
0.567271,-0.0188716,0.12015,0.365741
0.023926,-0.0261879,0.0661707,0.0254007
0.213189,-0.415714,-1.0628,-1.94223
0.752539,-0.441718,-1.60037,0.101054
-0.439279,-1.00446,-1.97886,-0.155095
0.827632,-0.596688,-2.57904,-0.268371
-0.415104,-0.441313,-0.175926,0.00604751
0.109817,-0.538872,-1.02389,-0.216891
0.187249,-0.467696,-0.166147,-1.28953
-0.381041,0.0357851,-0.483175,-0.0631185
0.175419,-0.111199,0.0455047,0.201279
-0.179848,0.0239435,-0.0986619,0.202969
-0.294458,-0.18865,0.192875,0.0881853
0.199321,0.0457407,0.162252,0.314826
-0.38935,-0.0218313,0.00537709,0.231147
-0.243608,-0.0453712,-0.120235,-0.210195
0.100016,0.0295169,0.104778,0.229567
0.174945,-0.103748,-0.970766,0.273818
-0.0956947,-0.167615,-0.589163,0.0483447
0.392251,-0.131949,0.0461659,-0.0860677
-0.736519,-0.348954,-0.345655,-0.0293612
-0.817777,-1.18525,-0.57342,-0.116786
-1.02009,-0.920123,-0.301881,-1.44689
-0.19201,0.0153742,-0.0521367,0.00769507
0.383035,0.0260663,0.144689,0.259188
-0.474156,-1.38356,-3.26274,-0.341539
-0.096601,-0.0335117,-0.989094,0.0803892
-0.27977,0.0619118,0.036433,0.154971
-0.253571,-0.673402,-1.62312,-1.40331
-0.976703,-1.19373,-1.69479,-1.10239
-0.512094,0.030022,0.0706557,-1.19588
0.277436,-0.00959863,0.124481,0.207369
0.526969,0.0380936,0.147275,0.367606
0.306973,-0.0474051,0.17085,0.0063873
-1.01351,-0.823407,-2.39582,-1.03815
-1.10721,-1.00507,-1.92395,-1.0573
-0.617228,0.0529081,0.0753361,0.0918841
-0.977385,-0.691075,-1.03162,-0.796563
0.299574,-0.281526,-0.946798,-0.537334
-0.20555,-0.219434,-0.500783,-0.0210851
0.612449,-0.181212,-0.24566,-0.107391
-1.21538,-0.00317068,-0.165191,0.243501
0.858471,-0.244921,-0.00741186,0.20156
-0.451854,-1.09867,-1.43481,-1.1156
-0.256205,0.0181387,0.109892,-0.237469
