LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
1.18647,-0.364155,0.0854429,-2.87181
0.941119,0.0812986,0.171714,0.160975
1.63253,0.00640356,0.115941,-0.734721
0.944962,-0.540928,-0.538482,0.0110211
2.32673,-0.942582,0.0573397,-0.882695
1.02891,0.0623796,-0.206731,0.237227
0.768282,-0.50294,-0.0299963,-0.12842
1.25274,-0.0310363,0.0882413,0.190029
0.380249,-1.35359,-3.69794,-1.232
0.770692,-0.655058,-1.0295,-0.217438
1.51349,-0.728621,-0.880938,-0.196157
0.273584,0.420945,0.0844926,0.0974586
0.837931,-0.0798396,0.0813353,-0.194576
-0.0554812,0.427735,0.0645265,-0.367397
0.777469,0.0862633,0.150224,-1.23939
0.551654,-1.04635,-0.115679,-0.559077
1.40005,0.031871,0.00388757,-1.30389
1.14887,-0.0460414,0.0724328,-0.030032
2.34858,-0.623914,-0.690696,-0.78146
1.03703,-2.02368,-0.166534,-0.575897
0.789427,0.175484,0.0904286,0.265447
0.261776,-0.61631,-0.218452,0.263477
1.21366,0.0314674,0.0999555,0.115895
0.803733,-0.400769,-0.430897,-0.248357
1.56441,-0.595036,-0.48176,-0.23202
0.156592,2.35627,0.162247,0.146254
-1.06728,0.0455688,-0.0401502,0.198749
-0.499382,0.0016968,-0.019762,-0.0910915
-0.491,0.0354119,-0.136092,-0.0919126
0.368951,-0.583136,0.125941,-0.11149
-0.00908914,0.775487,0.0549987,0.154649
1.26546,-0.103129,0.0922527,-0.532459
0.996774,-1.05971,-2.19247,-0.469614
0.824827,0.0404218,0.14413,0.1301
0.589384,0.432016,0.147356,0.214801
0.522315,0.105767,-0.0623024,0.133061
1.06,0.24802,0.0926161,0.296536
-0.314702,0.253398,0.069276,0.322456
0.593764,-0.249448,-1.0968,-0.0168573
0.305728,-0.0695488,0.0994116,-0.613597
0.324846,-1.37688,0.0893697,0.0884985
0.89774,-0.265344,0.0999935,0.140717
0.46843,0.112505,0.0975738,0.246205
1.00625,0.475241,0.0606393,-0.0345009
0.373475,0.13019,0.0989838,0.197094
-0.358848,1.19104,0.151179,0.174523
0.530687,0.128492,0.0880375,0.267343
1.04319,0.0310217,0.061898,0.0816879
0.812698,0.0289677,0.0393387,0.135201
0.354987,1.19535,0.100063,0.128368
0.885517,0.139047,0.101664,0.250957
0.468016,-0.288104,-0.0284455,-0.174409
1.30916,0.254734,0.0979966,0.154214
-1.54217,0.0307118,0.00552953,0.0980474
0.432481,-0.800231,0.0324553,-0.768065
0.757537,0.440707,0.106271,0.146765
-0.0232126,0.454867,0.128413,0.313788
1.92066,0.0718993,0.104665,0.0239998
1.42267,-0.413458,-1.04532,-0.225907
-0.151137,0.0613561,0.165485,-3.20615
0.842609,0.149211,0.135824,0.0978747
0.499711,0.0778806,0.105545,0.0939453
1.13198,-0.849814,-0.806889,-0.0842952
0.916193,-0.219506,0.0328255,0.290876
1.00935,-0.0532733,-0.0673795,0.00165241
-0.803473,-0.536496,-0.997869,-0.679713
0.912283,0.0534455,0.0990054,0.305262
-1.33844,-0.640366,-0.0948068,-0.935552
0.980374,0.372313,0.11352,0.302472
0.326474,0.439778,0.0668378,0.134618
0.087826,0.922836,-1.59753,-0.108008
0.483552,-0.667712,-0.667068,0.0343063
0.566104,0.0804407,0.122851,0.175542
-0.244151,-0.435072,-0.46757,-0.310754
0.725236,0.134116,0.101922,0.174815
0.830643,-0.28472,0.0881509,0.204156
1.64186,0.0971491,0.0977027,0.281284
0.496067,-0.188039,-0.00745672,0.250742
1.17711,-0.467917,0.0558425,-0.266466
1.61393,-0.0611739,0.0587026,-0.3627
-2.44197,-0.215691,0.0532428,0.048372
0.916302,-0.355783,-0.383257,0.0929495
0.785562,-0.531613,0.0852232,-0.251161
0.747084,0.107456,0.0972897,0.181217
0.430958,-0.147745,0.0512167,0.223245
2.65131,-0.580007,-0.0500433,-1.25538
0.120988,0.0161869,0.0381096,-3.8906
0.864656,-0.270531,-0.304185,-0.357964
1.84609,-0.376236,-0.0992187,-0.323306
1.34728,0.0753967,0.0189725,0.126422
1.43916,-0.755652,-0.87264,-0.0878601
0.508525,-0.440473,-1.49288,-0.717113
1.28823,-0.0901891,-0.155401,0.278133
0.0264355,0.214066,0.000889027,0.257968
1.00695,2.82455,0.117698,0.133405
0.502646,0.160353,0.112139,0.231575
0.608965,-0.436217,-0.461189,-0.391523
