pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
19,1211.52,6.21711,0.95559,1.05917,1.06638,1.23848,-1.89215,0.411397,0.100408,0.00232309,-0.000210526,1.02366,0.556748,0.24961,0.988002,1,0.315789,0.0526316,0.210526,0.0526316,0.368421,30,6.91733,0.463772,0.668891,0.447415,0.320347,-0.366745,0.258995,0.0670785,0.0123108,-0.00645395,9,5,4,0,1.8,0,0.380625,0,1,0,679.388,754,416
21,1718.8,6.03869,0.90726,1.04228,1.01041,1.14175,-1.71992,0.359183,0.10432,-0.00188528,-0.0122608,0.676493,0.384793,0.207069,1,1,0.285714,0.047619,0.142857,0,0.190476,73,6.03763,0.578211,0.707465,0.500506,0.382667,-0.454728,0.242559,0.0588348,-0.00580311,-0.0017424,6,5,1,0,1.2,0,0.236833,0,1,0,760.478,780,424
50,2686.41,9.34153,0.653462,1.19601,0.901045,1.14681,-0.742611,0.661496,0.221417,0.186095,0.0941673,0.664802,0.215721,0.065305,0.966287,1,0.32,0.32,0,0.12,0.06,287,8.36561,0.377025,0.536776,0.288128,0.179552,-0.132401,0.248111,0.061559,0.00858758,-0.00437596,11,7,4,1,1.57143,0.397791,0.126875,0,1,0,1020.84,202,103
43,2202.12,8.94691,0.548413,1.0223,0.833191,0.975606,-0.804372,0.5644,0.227194,0.185782,0.0318162,0.65117,0.306706,0.135768,0.963216,1,0.44186,0.302326,0.0232558,0.0697674,0.186047,110,9.49303,0.322364,0.658705,0.433893,0.319084,-0.325673,0.380209,0.144559,0.0561258,-0.0354184,7,7,5,1,1,0,0,0,1,0,919.193,364,188
30,2000.27,7.30026,0.432995,0.811638,0.570369,0.525317,-0.442182,0.436287,0.1503,0.0978381,0.00512171,0.744496,0.455876,0.228141,1,1,0.3,0.1,0.0666667,0.0333333,0.166667,84,7.56077,0.331508,0.697948,0.487132,0.359942,-0.441223,0.385645,0.148722,0.0619727,-0.0382316,7,3,0,0,2.33333,0,0.324789,0,1,0,747.216,437,245
29,1862.23,7.73116,0.567565,0.899313,0.633677,0.630951,-0.515757,0.432689,0.129633,0.0725236,0.00230365,0.462853,0.126403,0.170584,1,1,0.275862,0.0689655,0,0,0.0344828,88,7.92513,0.310803,0.574795,0.330389,0.237421,-0.152734,0.352544,0.124287,0.040461,-0.0244289,7,6,4,1,1.16667,0.126875,0,0,1,0,821.094,328,179
31,2197.09,7.75257,0.159086,0.786975,0.372658,0.287231,-0.169306,0.638963,0.220282,0.147752,-0.0327989,0.572229,0.197629,0.200903,1,1,0.354839,0.0645161,0,0.0967742,0.0967742,214,7.32311,0.053143,0.445113,0.198125,0.138466,-0.0171551,0.408256,0.166673,0.109462,-0.00899601,4,3,0,0,1.33333,0,0,0,1,0,817.199,380,208
21,1351.47,6.16928,0.647081,0.836346,0.731265,0.75865,-0.762066,0.349603,0.13269,0.0555477,-0.0137124,0.778015,0.465694,0.164545,1,1,0.190476,0.047619,0.190476,0,0.190476,115,5.53059,0.612322,0.71029,0.504512,0.381863,-0.471439,0.217235,0.0471909,-0.0100751,0.001636,17,10,0,1,1.7,0.277291,0.137456,1,1,0,1097.15,134,69
17,1137.27,5.34461,0.771202,0.827092,0.837608,0.918106,-1.03405,0.34669,0.128343,0.0300291,-0.0192741,1.10741,0.940639,0.16938,1,1,0.294118,0,0.235294,0,0.705882,53,5.52729,0.605323,0.728493,0.530701,0.405753,-0.530325,0.196883,0.038763,-0.000411758,-0.000371622,12,9,0,1,1.33333,0.189971,0.0406,0,1,0,1061.51,168,91
29,2034.34,7.67246,0.498934,0.903276,0.518429,0.492854,-0.288834,0.480995,0.127943,0.0712091,0.00271062,0.513042,0.151877,0.178973,1,1,0.344828,0.172414,0,0.0344828,0,117,7.15036,0.282627,0.516133,0.266394,0.186871,-0.0765009,0.33377,0.111402,0.0379959,-0.0155623,5,5,3,0,1,0,0,0,1,0,769.925,169,92
