pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,multiplerings
18,1675.15,4.57916,0.812663,0.867508,0.876047,0.960648,-1.1924,0.36381,0.121211,0.013345,-0.0186427,0.949433,0.626398,0.169333,1,1,0.222222,0,0.333333,0,0.333333,141,4.73796,0.617884,0.712026,0.506981,0.389057,-0.46991,0.240709,0.057941,-0.0165792,0.00224551,4,4,1,0,1,0,0,0,1
31,2113.46,7.55342,0.326487,1.01444,0.505847,0.557802,0.0802059,0.748155,0.208354,0.225436,0.237892,0.776639,0.204045,0.212645,0.988623,1,0.419355,0.0645161,0,0.129032,0.0645161,105,7.50901,0.277012,0.565874,0.320213,0.228529,-0.139726,0.363654,0.132244,0.0511535,-0.0251092,4,3,2,0,1.33333,0,0,0,1
40,2512.29,8.00607,0.472504,1.03234,0.718332,0.838439,-0.388995,0.640262,0.226869,0.221268,0.112893,0.597759,0.268509,0.171249,0.96217,1,0.325,0.2,0.025,0.1,0,132,8.57194,0.281963,0.604463,0.365376,0.264921,-0.204193,0.383489,0.147064,0.0593953,-0.034112,7,6,0,1,1.16667,0,0.1015,0,1
14,1026.23,5.16013,0.740893,0.852525,0.721576,0.711403,-0.819512,0.337353,0.0886439,0.0143196,-0.00900287,0.796569,0.399242,0.239838,1,1,0.285714,0,0.285714,0,0.142857,134,4.42299,0.650385,0.723073,0.522835,0.410345,-0.495801,0.254542,0.0647918,-0.0253737,0.00466687,12,10,0,1,1.2,0,0.0203,1,1
35,1779.89,7.74629,0.569202,1.10524,0.758339,0.930064,-0.356321,0.651524,0.204454,0.200237,0.136224,0.84298,0.366304,0.122034,0.94259,1,0.371429,0.0571429,0,0.171429,0.171429,68,8.12954,0.295566,0.593487,0.352227,0.246796,-0.193702,0.356004,0.126739,0.0473569,-0.0238828,3,2,1,0,1.5,0,0,0,1
58,3298.76,7.63432,0.58515,1.34222,1.58683,2.56822,-3.07292,0.849565,0.623471,0.728359,-0.21309,1.49038,1.83548,0.096177,0.718074,1,0.37931,0.155172,0.12069,0.258621,0.672414,101,7.44515,0.123362,0.500335,0.250335,0.165896,-0.0735679,0.405363,0.164319,0.0901066,-0.0284198,3,2,1,0,1.5,0,0,0,1
31,1742.74,7.47137,0.247715,0.977188,0.476867,0.509891,0.102038,0.770176,0.236013,0.252605,0.254154,0.6202,0.166102,0.139211,0.993113,1,0.451613,0.0967742,0,0.16129,0.0322581,101,7.49227,0.231314,0.567807,0.322405,0.226894,-0.146825,0.387259,0.14997,0.0691815,-0.0302097,6,5,0,1,1.2,0,0,0,1
55,3127.51,7.32325,0.716963,1.23127,1.20858,1.79547,-1.41977,0.643866,0.338549,0.315898,0.0380481,0.877212,0.492286,0.126126,0.838756,1,0.509091,0.0909091,0.0545455,0.2,0.381818,97,7.70474,0.261901,0.601179,0.361416,0.264312,-0.193421,0.395331,0.156286,0.0699142,-0.0358313,0,0,0,0,0,0,0,0,1
34,2149.89,6.7162,0.269313,1.38592,1.98147,4.83302,1.02204,1.17657,1.48343,3.44307,1.77745,1.23121,1.67771,0.105002,0.768477,1,0.411765,0.0882353,0.117647,0.264706,0.235294,173,6.98279,0.0990103,0.498907,0.248908,0.173505,-0.0602205,0.425591,0.181128,0.110124,-0.0282769,7,7,6,1,1,0,0,0,1
47,3430.66,8.10771,1.13874,1.29533,1.69182,2.50604,-4.65316,0.493501,0.187256,0.0346865,-0.0069726,1.08817,0.696191,0.182788,0.832505,1,0.340426,0.212766,0.0851064,0.0425532,0.510638,57,10.1687,0.119424,0.525823,0.27649,0.190406,-0.0924609,0.431894,0.186533,0.108314,-0.0375707,6,4,1,0,1.5,1.1165,0.169167,0,1
