pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
70,383.168,9.76455,1.32096,1.55925,2.12607,3.4869,-7.42951,0.614899,0.184964,0.0602158,0.0442822,2.37503,3.23801,0.343609,0.76024,1,0.971429,0.571429,0.1,0.128571,0.957143,4,6.34021,0.789002,0.793184,0.629141,0.504736,-0.779557,0.0693659,0.00481162,3.71553e-05,-4.42168e-05,0,0,0,0,0,0,0,0,1,0,388.044,122,119
82,1339.86,11.0469,1.11193,1.58714,1.78782,2.89304,-4.53013,0.724657,0.291004,0.113185,-0.0301011,1.6176,0.93037,0.112503,0.706254,1,0.829268,0.52439,0.0365854,0.207317,0.646341,23,9.20542,0.324741,0.494182,0.244216,0.156969,-0.0732247,0.284459,0.080917,0.0157158,-0.00887787,0,0,0,0,0,0,0,0,1,0,226.045,137,134
78,1131.44,11.2796,0.735599,1.52239,1.0438,1.39082,-1.13222,0.908021,0.22919,0.185225,0.100871,1.84315,1.10174,0.122942,0.944997,1,0.858974,0.564103,0.0897436,0.358974,0.769231,44,5.67122,0.557139,0.664725,0.44186,0.3429,-0.317404,0.318054,0.101158,-0.024436,-0.0114848,4,3,2,0,1.33333,0.0765,0,0,1,0,218.213,139,136
132,4050.8,11.9165,0.561405,1.67164,1.04947,1.51612,-0.702253,1.16968,0.353349,0.423269,0.269164,1.39783,0.444358,0.0904038,0.91758,1,0.75,0.560606,0,0.522727,0.507576,173,8.29241,0.104877,0.638476,0.407652,0.294023,-0.280844,0.543173,0.295037,0.184056,-0.142486,0,0,0,0,0,0,0,0,1,0,895.485,163,160
54,306.833,10.1266,0.42101,1.29275,1.31252,1.84408,-2.27175,0.920741,0.595662,0.676343,-0.163232,0.897824,0.536533,0.0977898,0.922804,1,0.981481,0.333333,0,0.37037,0.185185,7,12.6605,0.503026,0.674623,0.455116,0.343653,-0.356896,0.288357,0.0831497,0.00115237,-0.0090164,0,0,0,0,0,0,0,0,1,0,57.1084,173,170
97,3107.87,11.9572,1.54184,1.61433,2.56218,4.47741,-11.5998,0.646222,0.198528,-0.0747656,0.0189882,1.91093,1.17596,0.359871,0.423496,1,0.783505,0.628866,0.0618557,0.206186,0.804124,19,10.9692,0.451406,0.638352,0.407494,0.289601,-0.285163,0.260727,0.0679787,0.0136448,-0.00546402,0,0,0,0,0,0,0,0,1,0,454.235,177,174
128,5880.77,13.1074,0.458321,1.64702,0.929513,1.3093,-0.398123,1.23366,0.376916,0.45929,0.262577,1.12056,0.275535,0.131655,0.930881,1,0.703125,0.664062,0,0.570312,0.328125,237,9.16046,0.159787,0.566924,0.321403,0.218273,-0.156254,0.431765,0.186421,0.0985969,-0.0484304,0,0,0,0,0,0,0,0,1,0,1056.86,181,178
117,2688.34,12.3579,0.958559,1.61422,1.46978,2.18979,-2.88828,0.801988,0.256261,0.148393,0.0279631,1.61643,0.813506,0.0747748,0.858762,1,0.794872,0.564103,0.025641,0.264957,0.632479,71,8.43364,0.478554,0.654844,0.428821,0.332907,-0.289028,0.32671,0.106739,0.00326275,-0.0195351,0,0,0,0,0,0,0,0,1,0,503.816,183,180
118,4422.49,11.4145,1.6533,1.70394,2.94855,5.55633,-15.0957,0.628617,0.211606,-0.0211393,0.0304326,2.05135,1.51005,0.242254,0.365502,1,0.779661,0.550847,0.0508475,0.20339,0.838983,19,11.9089,0.356218,0.636133,0.404665,0.292651,-0.274118,0.339575,0.115311,0.037414,-0.0211814,0,0,0,0,0,0,0,0,1,0,765.16,188,185
123,4723.02,12.1464,0.754505,1.64811,1.22813,1.79086,-1.53078,0.993439,0.296877,0.279684,0.135372,1.5231,0.700838,0.0532081,0.904489,1,0.731707,0.585366,0.0243902,0.447154,0.577236,149,8.10257,0.341763,0.635886,0.404351,0.304232,-0.257983,0.371886,0.138299,0.0460049,-0.033185,0,0,0,0,0,0,0,0,1,0,778.438,193,190
91,1165.33,10.5883,0.252776,1.53124,0.930213,1.33419,-0.267007,1.30413,0.571169,0.772994,0.307834,1.35824,0.540517,0.0638064,0.919212,1,0.846154,0.406593,0,0.626374,0.428571,58,6.96185,0.423544,0.656625,0.431156,0.340808,-0.28444,0.360018,0.129613,0.0225324,-0.0308392,4,3,2,0,1.33333,0,0,0,1,0,372.996,198,195
97,2190.32,11.1593,1.31967,1.6854,1.96379,3.02395,-6.57214,0.70819,0.120868,0.0464819,0.0590493,2.10773,1.48269,0.228413,0.842011,1,0.886598,0.56701,0.0515464,0.226804,0.835052,3,9.42208,0.576223,0.739411,0.546728,0.419046,-0.569588,0.194766,0.0379339,0.00936493,-0.00195409,0,0,0,0,0,0,0,0,1,0,696.055,3,3
100,2103.56,10.5066,1.18928,1.63938,1.68384,2.46136,-4.61455,0.732312,0.143436,0.0426887,0.0524135,2.07827,1.3836,0.343865,0.908176,1,0.93,0.57,0.08,0.22,0.85,33,6.18394,0.733053,0.792983,0.628822,0.515841,-0.759554,0.163904,0.0268645,-0.00817873,0.00371618,0,0,0,0,0,0,0,0,1,0,407.188,9,9
114,2268.86,12.2418,0.721828,1.61503,1.24162,1.76565,-1.79162,0.987264,0.305847,0.278191,0.0895722,1.42778,0.478701,0.093498,0.913362,1,0.77193,0.54386,0,0.438596,0.482456,86,8.54831,0.208151,0.532932,0.284016,0.184263,-0.117926,0.364593,0.132928,0.058591,-0.0234938,2,2,1,0,1,0,0,0,1,0,584.932,13,13
91,2399.59,11.4213,0.425209,1.58964,0.595532,0.764594,0.185703,1.21452,0.228374,0.277535,0.273349,1.58192,0.391824,0.195442,0.955087,1,0.835165,0.516484,0.010989,0.549451,0.549451,142,6.10568,0.204323,0.468455,0.21945,0.146019,-0.0433411,0.335506,0.112564,0.0485265,-0.0119161,6,4,0,0,1.5,0,0.0338333,0,1,0,468.878,23,23
73,1117.26,10.1934,0.560948,1.45017,0.905848,1.13992,-0.735542,0.977217,0.253332,0.252819,0.176422,1.70548,0.967121,0.208287,0.959756,1,0.849315,0.493151,0.0684932,0.328767,0.684932,32,6.35779,0.32409,0.683083,0.466602,0.340567,-0.399883,0.381561,0.145589,0.0599797,-0.0362271,0,0,0,0,0,0,0,0,1,0,161.48,44,44
117,3237.5,12.6146,1.35534,1.68818,2.22913,3.81319,-7.96909,0.66871,0.241256,0.0357213,-0.0182445,1.60095,0.731585,0.104252,0.640832,1,0.777778,0.700855,0.017094,0.205128,0.632479,47,8.79559,0.662596,0.759669,0.577098,0.462393,-0.626372,0.220715,0.0487151,-0.0141481,0.00360143,0,0,0,0,0,0,0,0,1,0,725.996,48,48
113,3788.51,12.3207,1.14567,1.68283,1.63086,2.45436,-3.95237,0.759518,0.203129,0.0545213,0.028263,1.557,0.542623,0.0518672,0.837721,1,0.769912,0.522124,0,0.221239,0.513274,86,8.06545,0.417868,0.635753,0.404182,0.284341,-0.284106,0.280122,0.0784685,0.0182968,-0.00853895,0,0,0,0,0,0,0,0,1,0,669.777,49,49
111,4383.8,12.2393,1.67441,1.69275,2.98192,5.60812,-15.6508,0.651113,0.198088,-0.0316004,0.0371443,1.62209,0.725247,0.298791,0.334062,1,0.765766,0.675676,0.045045,0.234234,0.657658,23,11.0973,0.534179,0.736245,0.542056,0.41364,-0.563368,0.243788,0.0594323,0.00789999,-0.00513049,0,0,0,0,0,0,0,0,1,0,878.015,53,53
123,2972.5,11.273,1.34549,1.6608,2.32128,4.26312,-7.78688,0.658417,0.374596,0.0401124,-0.0985637,1.1564,0.567472,0.0390269,0.584535,1,0.715447,0.487805,0.00813008,0.186992,0.414634,50,10.589,0.205627,0.471106,0.221941,0.152459,-0.0378228,0.338613,0.114659,0.0529853,-0.00944315,0,0,0,0,0,0,0,0,1,0,566.391,56,56
127,4277.1,11.3411,1.02355,1.67883,1.57649,2.51217,-2.97889,0.825951,0.294094,0.176378,0.0574309,1.36267,0.659954,0.0489478,0.867192,1,0.716535,0.472441,0.00787402,0.291339,0.433071,89,8.87756,0.071237,0.527168,0.277907,0.203266,-0.0782824,0.473311,0.224023,0.149813,-0.0471767,0,0,0,0,0,0,0,0,1,0,631.72,58,58
