PMTBaryTheta,PMTAvgDist,PMTAvgT,PMTQtotal,PMTQtotalClustered,PMTHits,PMTFracQmax,PMTFracQdownstream,PMTFracClustered,PMTFracLowQ,PMTFracEarly,PMTFracLate,PMTRMSTheta,PMTVarTheta,PMTRMSThetaBary,PMTVarThetaBary,PMTRMSPhi,PMTVarPhi,PMTRMSPhiBary,PMTVarPhiBary,PMTFracLargeAnglePhi,PMTFracLargeAngleTheta,PMTHitsLargeAnglePhi,PMTHitsLargeAngleTheta,LAPPDBaryTheta,LAPPDAvgDist,LAPPDQtotal,LAPPDAvgT,LAPPDHits,LAPPDRMSTheta,LAPPDVarTheta,LAPPDRMSThetaBary,LAPPDVarThetaBary,MrdLayers,MrdPaddles,MrdConsLayers,MrdAdjHits,MrdPadPerLayer,MrdXSpread,MrdYSpread,MrdClusters
0.953495,1.39856,8.47233,5190.31,3985.82,51,0.0955817,0.923522,0.767935,0.372549,0.0784314,0.254902,1.31587,1.11717,0.594131,0.174755,2.89708,3.0893,1.42037,0.980687,0.627451,0.0980392,32,5,0.429772,1.31,94,7.97863,94,0.652156,0.652156,0.335252,0.112394,2,2,1,0,1,0,0,0
1.49539,1.58326,7.81037,4716.63,0,39,0.281741,0.736213,0,0.384615,0,0.128205,1.58956,1.52619,0.513961,0.0933693,3.41717,3.06234,1.62478,1.95589,0.538462,0.0769231,21,3,0.387114,1.39312,10,12.295,10,0.551933,0.551933,0.261811,0.0685449,0,0,0,0,0,0,0,0
1.17814,1.26025,5.54341,1355.28,0,18,0.339119,0.910312,0,0.388889,0.333333,0.0555556,1.18124,1.25633,0.434003,0.120902,3.12545,2.98715,1.22304,1.15347,0.611111,0,11,0,0.657841,1.30001,6,6.85047,6,0.727348,0.727348,0.120666,0.0145603,5,6,3,0,1.2,0.35525,0,0
1.25194,1.53516,7.09889,4004.37,0,31,0.218427,0.932596,0,0.483871,0.0322581,0.0967742,1.43493,1.28517,0.529328,0.0729796,3.29389,2.83738,1.30586,0.610785,0.516129,0.0322581,16,1,0.475383,1.45496,32,9.74737,32,0.557057,0.557057,0.192938,0.037225,0,0,0,0,0,0,0,0
0.522706,1.43963,9.7814,4626.89,3651.26,71,0.0653478,0.96183,0.789138,0.422535,0,0.366197,1.28019,0.992044,0.826838,0.318934,3.39704,3.45915,0.71072,0.226189,0.0985915,0.253521,7,18,0.0697075,1.36677,180,9.26319,180,0.60033,0.60033,0.537973,0.289415,3,7,2,0,2.33333,0.427648,0,0
0.818702,1.35918,8.33468,2033.49,1749.2,36,0.0989778,0.954165,0.860193,0.472222,0,0.138889,1.30495,1.03185,0.692338,0.216694,4.02782,3.98598,0.801265,0.228764,0.0833333,0.138889,3,5,0.411855,1.33354,140,7.14595,140,0.637174,0.637174,0.326297,0.10647,3,3,1,0,1,0,0,0
0.834157,1.44232,7.9723,3013.31,2116.61,38,0.0781451,0.983156,0.702422,0.315789,0,0.0789474,1.168,0.970759,0.539098,0.146885,3.58513,3.5688,0.80252,0.22294,0.131579,0.0789474,5,3,0.351272,1.38283,139,7.67149,139,0.544573,0.544573,0.291122,0.0847521,4,5,2,0,1.25,0,0,0
0.375612,1.37923,7.959,2364.2,2258.25,36,0.0938576,1,0.955187,0.277778,0,0.0833333,0.919736,0.740808,0.586445,0.18135,3.32155,3.33712,0.455736,0.146643,0,0.194444,0,7,0.323365,1.35,162,7.84951,162,0.582714,0.582714,0.343186,0.117777,0,0,0,0,0,0,0,0
0.528684,1.38487,9.15945,767.902,0,34,0.0808501,0.970406,0,0.852941,0.0294118,0.294118,1.17104,1.16994,0.711943,0.471664,3.35195,3.39625,0.623186,0.339805,0.147059,0.0588235,5,2,0.465462,1.32864,18,10.3235,18,0.709893,0.709893,0.290432,0.0843505,0,0,0,0,0,0,0,0
0.338215,1.42588,10.5299,6874.23,5905.49,76,0.0810987,0.952465,0.859076,0.539474,0,0.421053,1.39956,0.853682,1.10199,0.340503,3.22672,3.15601,0.900022,0.201919,0.210526,0.473684,16,36,0.0981615,1.34964,389,8.90148,389,0.54903,0.54903,0.469901,0.220807,1,1,0,0,1,0,0,0
